"filename", "language", "JavaScript", "PostCSS", "JSON", "XML", "Markdown", "HTML", "Log", "comment", "blank", "total"
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/homepage/search/Search.js", "JavaScript", 289, 0, 0, 0, 0, 0, 0, 2, 41, 332
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/panier/head/Head.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/panier/shoppingCart/ShoppingCart.js", "JavaScript", 281, 0, 0, 0, 0, 0, 0, 0, 42, 323
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/panier/shoppingCart/loginForm/LoginForm.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 10, 19, 128
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/firebase.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/index.css", "PostCSS", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/layout/Layout.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/layout/footer/Footer.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 11, 79
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/layout/header/Header.js", "JavaScript", 197, 0, 0, 0, 0, 0, 0, 0, 28, 225
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/activityDetails/ActivityDetails.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 118, 4, 154
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/allActivities/AllActivities.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/allHouse/AllHouse.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
